Bacteroides_xylanisolvens_SD_CC_2a,4915
Bacteroides_xylanisolvens_SD_CC_1b,4921
Erysipelotrichaceae_bacterium_21_3,8648
Methanobrevibacter_smithii_DSM_2375,3418
Clostridiales_butyrate-producing_bacterium_SSC-2,2771
Corynebacterium_sp._HFH0082,4240
Roseburia_intestinalis_XB6B4,3630
Escherichia_coli_MS_84-1,11420
Ruminococcus_torques_L2-14,2798
Anaerostipes_sp._3_2_56FAA,6738
Helicobacter_pylori_GAM246Ai,3414
Megamonas_hypermegale_ART12-1,2118
Escherichia_coli_MS_60-1,11298
Eubacterium_rectale_M104-1,3212
Escherichia_coli_MS_69-1,10964
Ruminococcus_obeum_A2-162,3155
Roseburia_intestinalis_M50-1,3478
Escherichia_coli_MS_78-1,9984
Coprococcus_sp._HPP0074,5726
Bacteroides_eggerthii_DSM_20697,7422
Anaerobaculum_hydrogeniformans_ATCC_BAA-1850,5000
Clostridium_sp._M62-1,8328
Fusobacterium_varium_ATCC_27725,6016
Fusobacterium_mortiferum_ATCC_9817,5076
Citrobacter_youngae_ATCC_29220,10556
Enterobacter_cancerogenus_ATCC_35316,9236
Edwardsiella_tarda_ATCC_23685,7928
Enterococcus_faecalis_TX2134,6392
Helicobacter_pylori_GAM93Bi,3386
Helicobacter_pylori_HP116Bi,3376
Lachnospiraceae_bacterium_3_1_57FAA_CT1,13070
Lachnospiraceae_bacterium_2_1_58FAA,7068
Lachnospiraceae_bacterium_5_1_57FAA,6742
Bifidobacterium_breve_DSM_20213_=_JCM_1192,4526
Escherichia_coli_4_1_47FAA,10612
Helicobacter_pylori_GAM83Bi,3322
Lachnospiraceae_bacterium_5_1_63FAA,6074
Helicobacter_pylori_GAM96Ai,3428
Lachnospiraceae_bacterium_7_1_58FAA,11814
Helicobacter_pylori_GAM101Biv,3322
Bacteroides_sp._3_1_19,4248
Helicobacter_pylori_HP250BFiii,3252
Bacteroides_sp._D22,4931
Faecalibacterium_prausnitzii_M21-2,6986
Clostridium_sp._SS2-1,6334
Bifidobacterium_sp._12_1_47BFAA,4086
Prevotella_oralis_HGA0225,4708
Bacteroides_clarus_YIT_12056,6544
Phascolarctobacterium_succinatutens_YIT_12067,4300
Succinatimonas_hippei_YIT_12066,4338
Klebsiella_pneumoniae_subsp._pneumoniae_WGLW3,10318
Paraprevotella_xylaniphila_YIT_11841,6884
Veillonella_sp._6_1_27,1843
Anaerostipes_caccae_DSM_14662,7496
Helicobacter_pylori_GAM252T,3234
Listeria_innocua_ATCC_33091,5876
Sutterella_wadsworthensis_2_1_59BFAA,4738
Bacteroides_cellulosilyticus_DSM_14838,11438
Helicobacter_pylori_HP250BSi,3252
Weissella_paramesenteroides_ATCC_33313,3904
Hafnia_alvei_ATCC_51873,9800
Lactobacillus_reuteri_SD2112,2246
Coprobacillus_sp._8_2_54BFAA,7282
Lactobacillus_reuteri_MM4-1A,2095
Escherichia_sp._4_1_40B,8996
Enterococcus_faecalis_TX4244,5804
Escherichia_sp._3_2_53FAA,5353
Escherichia_sp._1_1_43,8962
Dysgonomonas_mossii_DSM_22836,6858
Enterococcus_saccharolyticus_30_1,6022
Fusobacterium_periodonticum_1_1_41FAA,2325
Eubacterium]_siraeum_V10Sc8a,2211
Helicobacter_pylori_GAM121Aii,3400
Alistipes_shahii_WAL_8301,2563
Coprococcus_sp._ART55-1,2128
Eubacterium]_cylindroides_T2-87,1442
Helicobacter_pylori_GAM239Bi,3348
Lactobacillus_reuteri_JCM_1112,1820
Escherichia_coli_MS_45-1,10476
Lactobacillus_sp._7_1_47FAA,2362
Pseudomonas_sp._2_1_26,12098
Helicobacter_pylori_GAM260BSi,3254
Helicobacter_pylori_GAM260Bi,3402
Anaerofustis_stercorihominis_DSM_17244,4662
Subdoligranulum_sp._4_3_54A2FAA,8210
Alistipes_putredinis_DSM_17216,5484
Tannerella_sp._6_1_58FAA_CT1,6420
Anaerotruncus_colihominis_DSM_17241,8854
Klebsiella_sp._1_1_55,5010
Coprococcus_sp._HPP0048,5208
Bacteroides_sp._9_1_42FAA,4871
Helicobacter_pylori_HP260ASii,3364
Bifidobacterium_longum_subsp._longum_JCM_1217,1924
Bacteroides_sp._D1,9372
Lactobacillus_fermentum_IFO_3956,1843
Bifidobacterium_longum_subsp._infantis_ATCC_15697_=_JCM_1222_=_DSM_20088,2552
Paenibacillus_sp._HGF7,5992
Eubacterium_ventriosum_ATCC_27560,5604
Dorea_longicatena_DSM_13814,5940
Dorea_formicigenerans_ATCC_27755,3277
Eubacterium_rectale_DSM_17629,2898
Ruminococcus_torques_ATCC_27756,5750
Coprococcus_catus_GD-7,2985
Bacteroides_ovatus_ATCC_8483,11072
Lactobacillus_helveticus_DSM_20075,4156
Lactobacillus_amylolyticus_DSM_11664,1684
Erysipelotrichaceae_bacterium_5_2_54FAA,5744
Dermabacter_sp._HFH0086,4266
Clostridium_sp._HGF2,4201
Parabacteroides_johnsonii_DSM_18315,9030
Roseburia_intestinalis_L1-82,9414
Acinetobacter_junii_SH205,3186
Escherichia_coli_MS_146-1,9910
Acinetobacter_radioresistens_SH164,2874
Eggerthella_sp._HGA1,3021
Bacteroides_sp._2_1_16,4609
Bacteroides_sp._2_1_22,4748
Enterobacter_cloacae_subsp._cloacae_NCTC_9394,3725
